0,ik wil de Opel Corsa
1,ik wil de Ford fiesta
2,ik wil de Opel Astra
3,ik wil de Volvo V60
4,ik wil de Tesla model S
5,ik wil de BMW 3 Series
6,ik wil de Ford focus
7,ik wil de Audi A3
0,ik wil de Opel Corsa
1,ik wil de Ford fiesta
2,ik wil de Opel Astra
3,ik wil de Volvo V60
4,ik wil de Tesla model S
5,ik wil de BMW 3 Series
6,ik wil de Ford focus
7,ik wil de Audi A3
0,ik wil de Opel Corsa
1,ik wil de Ford fiesta
2,ik wil de Opel Astra
3,ik wil de Volvo V60
4,ik wil de Tesla model S
5,ik wil  BMW 3 Series
6,ik wil Ford focus
7,ik wil Audi A3
0,ik wil  Opel Corsa
1,ik wil  Ford fiesta
2,ik wil Opel Astra
3,ik wil Volvo V60
4,ik wil Tesla model S
5,ik wil de BMW 3 Series
6,ik wil de Ford focus
7,ik wil de Audi A3
